architecture,condition,success_mean,success_std,time_mean,time_std,steps_mean,steps_std,tokens_mean,tokens_std
react,Baseline,85.83333333333333,2.2821773229381948,29.7692621866862,2.3929461160420584,9.7875,0.23634588001486276,42808.19583333333,652.7062386257464
plan-then-act,Baseline,32.08333333333333,1.1410886614690934,2.177027110258738,0.11907395627409145,1.7541666666666667,0.13290948256447152,2045.5625,21.082051797349095
reference,Baseline,47.91666666666667,9.199750902424844,38.45818364123503,7.770918140443039,8.295833333333334,1.494158184582729,22025.1125,2452.694217156567
reflexion,Baseline,99.16666666666666,1.1410886614691012,39.10728972156843,10.180859960117845,11.325,0.8893417900022711,0.0,0.0
react,Perturbado,86.25,4.32009194860994,37.619162887334824,4.325972060785159,9.858333333333333,0.6173841546755505,43114.916666666664,2540.336903979565
plan-then-act,Perturbado,30.833333333333336,3.0900827029565283,1.9020395696163177,0.20733599760296506,1.6875,0.09660019266141359,2045.4708333333333,28.122810871594012
reference,Perturbado,47.5,3.090082702956528,34.161947091420494,8.464330672511943,8.370833333333334,1.13119436634225,22096.30416666667,2283.7733497958698
reflexion,Perturbado,99.58333333333333,0.9316949906249166,34.31124905943871,11.647247046393892,11.299999999999999,0.6809345599982425,0.0,0.0
